crop_name	crop_type	water_requirement_per_season	fertilizer_recommendation	pesticides_chemicals_and_safety_notes	climatic_conditions	sowing_and_harvesting_seasons	duration_days_to_maturity	yield_potential_per_acre	common_diseases_and_pests	best_crop_rotation_alternatives
Rice (Paddy)	Cereal	1200-2000 mm/season	NPK 80-40-40 kg/ha (~72-36-36 kg/acre); Organic: FYM/compost; Micronutrients: Zn, B	Common groups: fungicides, insecticides for stem borer; follow label and local advisory; prefer IPM & biopesticides	Warm, humid; 20-35°C; standing water/lowland	Sowing: Jun-Jul (kharif). Harvest: Oct-Nov	120-150	3-6 t/acre	Blast, Sheath blight, Brown plant hopper, Stem borer	Wheat → Rice; Legume intercrop/Green manure
Wheat	Cereal	450-650 mm/season	NPK 120-60-40 kg/ha (~108-54-36 kg/acre); Organic: FYM, green manure; Micronutrients: S, Zn	Use fungicides/insecticides as per advisory; adopt balanced nutrition and seed treatment	Cool, temperate; 10-25°C	Sowing: Nov-Dec. Harvest: Mar-Apr	110-130	2-3 t/acre	Rusts (leaf, stem), Fusarium, Aphids	Rice → Wheat; Legume (pea) rotation
Maize	Cereal	450-700 mm/season	NPK 120-60-40 kg/ha (~108-54-36 kg/acre); Organic: FYM/compost; Micronutrients: Zn, B	Common insecticides for stem borer; use biocontrols where possible	Warm, 20-30°C; moderate rainfall	Sowing: Apr-Jun (Kharif) / Feb-Mar (Rabi). Harvest: Sep-Oct / May-Jun	90-110	2-4 t/acre	Stem borer, Fall armyworm, Maize streak virus	Legumes (pigeon pea), Sorghum
Sugarcane	Cashcrop	1500-2500 mm/season (distributed)	High NPK need: ~150-200-100 kg/ha (~135-180-90 kg/acre) split doses; Organic: compost+pressmud; Micronutrients: B, Fe, Zn	Systemic insecticides for borers; fungicide for red rot as per advisories	Tropical to subtropical; 20-35°C	Planting: Feb-Apr. Harvest: 10-18 months later	300-800 (cane t/acre)	Red rot, smut, borers, scale insect	Legumes/short-duration cereals as intercrop	
Mustard (Rapeseed)	Oilseed	400-600 mm/season	NPK 60-40-20 kg/ha (~54-36-18 kg/acre); Organic: FYM; Micronutrients: S, B	Seed treatment fungicide; aphid control as needed; follow label	Cool season; 10-25°C	Sowing: Oct-Nov. Harvest: Mar-Apr	90-110	0.6-1 t/acre (seed)	Sclerotinia, Alternaria, Aphids	Legume → Mustard; Wheat rotation
Soybean	Oilseed/Legume	500-700 mm/season	NPK 20-40-40 kg/ha (~18-36-36 kg/acre); Organic: Rhizobium inoculation, FYM; Micronutrients: Zn, B	Foliar fungicides for rust; use bio-pesticides for pod borer; follow label	Warm, 20-30°C	Sowing: Jun-Jul. Harvest: Sep-Oct	80-100	0.6-1 t/acre (seed)	Stem canker, Pod borer, Rust	Cereal (maize/wheat) rotation; fits well after paddy
Groundnut (Peanut)	Oilseed	500-700 mm/season	NPK 20-40-40 kg/ha; Organic: FYM + neem cake; Micronutrients: Zn, B, Mo	Avoid broad-spectrum insecticides during flowering; use biocontrols for leaf miners	Warm, sandy-loam; 20-30°C	Sowing: Jun-Jul. Harvest: Oct-Nov	90-120	1-2 t/acre (pods)	Leaf spots, Rust, Aphids, Pod rot	Cereal rotation; legume-cereal rotation
Pigeon Pea (Tur/Arhar)	Pulse	400-600 mm/season	NPK 20-40-20 kg/ha; Organic: FYM + Rhizobium; Micronutrients: Zn	Pod borer management (biopesticides preferred)	Tropical, warm; 20-30°C	Sowing: Jun-Jul. Harvest: Oct-Nov	150-180	0.4-0.8 t/acre	Sterility mosaic, Pod borer, Phytophthora	Cereal rotation; intercropping
Green Gram (Moong)	Pulse	300-500 mm/season	P 20-40 kg/ha; Organic: FYM, Rhizobium; Micronutrients: Zn	Use pheromone traps/biopesticides for pod borers	Warm; 25-35°C	Sowing: Jun-Jul. Harvest: Sep-Oct	60-80	0.2-0.6 t/acre	Yellow mosaic virus, Pod borer, Leaf miner	Cereal crops; fits in rice-wheat system
Black Gram (Urad)	Pulse	400-600 mm/season	P 20-40 kg/ha; Organic: FYM, Rhizobium	Manage bruchids in storage; field pests: pod borer	Warm; 25-35°C	Sowing: Jun-Jul. Harvest: Sep-Oct	70-90	0.3-0.8 t/acre	Cercospora leaf spot, Powdery mildew	Cereal rotation
Chickpea (Gram)	Pulse	300-500 mm/season	P and S important; N minimal; NPK 20-40-20 kg/ha; Organic: FYM + Rhizobium; Micronutrients: Zn, B	Fusarium wilt management (resistant varieties), pod borer control	Cool season; 10-25°C	Sowing: Oct-Nov. Harvest: Feb-Mar	100-120	0.5-1 t/acre	Fusarium wilt, Ascochyta blight, Pod borer	Cereal → Pulse
Lentil (Masoor)	Pulse	300-450 mm/season	P 20-40 kg/ha; Organic: FYM + Rhizobium	Manage root rot; follow seed treatment guidance	Cool, semiarid; 10-25°C	Sowing: Oct-Nov. Harvest: Feb-Mar	90-110	0.4-0.8 t/acre	Root rot, Rust	Wheat rotation
Sorghum (Jowar)	Cereal	350-600 mm/season	NPK 40-60-40 kg/ha; Organic: FYM	Stem borer, shoot fly management via resistant varieties/biocontrols	Drought tolerant; hot areas; 25-35°C	Sowing: Jun-Jul. Harvest: Sep-Oct	90-120	1-2 t/acre	Downy mildew, Grain mold, Shoot fly	Legume rotation
Pearl Millet (Bajra)	Cereal	300-500 mm/season	NPK 40-60-40 kg/ha; Organic: FYM	Downy mildew and smut management; avoid excessive irrigation	Hot, arid to semi-arid; 25-40°C	Sowing: Jun-Jul. Harvest: Sep-Oct	60-90	0.5-1.5 t/acre	Downy mildew, Smut	Legume rotation
Barley	Cereal	350-500 mm/season	NPK 60-40-20 kg/ha; Organic: FYM	Foliar fungicides for powdery mildew as required	Cool-season; 10-20°C	Sowing: Oct-Nov. Harvest: Feb-Mar	90-120	0.8-1.5 t/acre	Powdery mildew, Net blotch	Legume/wheat rotation
