Crop name	Crop type	Water requirement per acre (approx)	Fertilizer (N-P-K kg/acre; organic alternatives; micronutrients)	Pesticides/Chemicals (recommended; safe dose)	Climatic conditions (ideal temp °C; rainfall mm; humidity %)	Sowing and harvesting seasons	Duration (days to maturity)	Yield potential per acre	Common diseases and pests	Best crop rotation alternatives
Wheat	Cereal	Moderate (approx 400–650 mm seasonal)	N 40–60 kg/acre; P2O5 20–40 kg/acre; K2O 10–20 kg/acre; Organic: FYM 2–4 t/ha; Micronutrients: S, Zn as per soil test	Herbicides (isoproturon) and fungicides for rusts (use label doses); follow IPM	Temp 10–25°C (best 15–20°C); Rainfall 350–500 mm; Humidity moderate	Rabi sowing (Oct–Dec) / Harvest (Mar–Apr)	120–140	8–20 qtl/acre	Rusts, Powdery mildew, Aphids	Rice → Mustard/Legume
Rice (Paddy)	Cereal	High (approx 1000–1500 mm seasonal/irrigation)	N 40–80 kg/acre; P2O5 20–40 kg/acre; K2O 20–40 kg/acre; Organic: FYM/compost; Micronutrients: Zn	Tricyclazole for blast, carbendazim for seedling diseases (follow label doses)	Temp 20–32°C; Rainfall 1000–1500 mm; Humidity high	Kharif transplanting (Jun–Jul) / Harvest (Oct–Nov)	120–150	12–30 qtl/acre	Blast, Sheath blight, BPH	Wheat → Maize
Sugarcane	Cashcrop	Very high (1200–2500 mm & frequent irrigation)	N 80–150 kg/acre; P2O5 40–80 kg/acre; K2O 80–150 kg/acre; Organic: FYM 20–40 t/ha; Micronutrients: S, Zn, B	Insecticides for borers and termites as per package of practices	Temp 20–35°C; Rainfall 1000–1500 mm (irrigation common)	Planting Feb–Mar / Harvest after 10–18 months	300–540	60–200 qtl/acre	Top borer, Smut, Rust	Legume cover crops → Cereal
Cotton	Cashcrop	Moderate (600–900 mm) with irrigation	N 40–80 kg/acre; P2O5 20–40 kg/acre; K2O 30–60 kg/acre; Organic: FYM; Micronutrients: B, Zn	Bt hybrids reduce bollworm; use approved insecticides for sucking pests (follow labels)	Temp 20–35°C; Rainfall 600–900 mm; Humidity moderate	Kharif sowing (May–Jun) / Harvest Oct–Dec	150–180	8–20 qtl lint/acre	Bollworm, Jassids, Aphids	Legume → Cereal
Mustard (Rapeseed)	Oilseed	Low-moderate	N 16–32 kg/acre; P2O5 16 kg/acre; K2O 16 kg/acre; Organic: FYM, Neem cake; Micronutrients: Boron	Aphid sprays and fungicides for Alternaria as per label	Temp 10–25°C; Rainfall 300–600 mm	Rabi sowing (Oct–Nov) / Harvest (Feb–Mar)	100–140	3–7 qtl/acre	Aphids, White rust, Alternaria	Wheat → Legume
Maize	Cereal	Moderate (approx 500–800 mm)	Urea ~30–60 kg/acre; SSP 30–60 kg/acre; MOP 10–20 kg/acre; Organic: FYM/compost; Micronutrients: Zn, B	Chlorpyrifos for stem borer (use label doses); IPM recommended	Temp 18–30°C; Rainfall 500–800 mm; Humidity moderate	Kharif sowing (Jun–Jul) / Harvest (Sep–Oct)	110–140	8–25 qtl/acre	Stem borer, Fall armyworm	Legume → Wheat
Barley	Cereal	Low-moderate (350–600 mm)	N 30–50 kg/acre; P2O5 20–30 kg/acre; K2O 10–20 kg/acre; Organic: FYM; Micronutrients: Zn	Fungicide application for powdery mildew/rust as needed (label doses)	Temp 10–25°C; Rainfall 300–500 mm	Rabi sowing (Oct–Nov) / Harvest (Mar–Apr)	120–140	6–15 qtl/acre	Rust, Powdery mildew	Wheat → Pulse
Gram (Chickpea)	Pulse	Low (300–500 mm)	P2O5 20–30 kg/acre; K2O 10–20; Rhizobium inoculation; FYM 2–3 t/ha; Micronutrients: Zn, B	Seed treatment with fungicide and insect management for pod borers (follow label)	Temp 10–30°C; Rainfall 300–500 mm	Rabi sowing (Oct–Nov) / Harvest (Mar–Apr)	120–140	4–8 qtl/acre	Ascochyta blight, Pod borer	Wheat → Mustard
Green Gram (Moong)	Pulse	Low (350–600 mm)	N minimal (with inoculation); P2O5 10–20 kg/acre; K2O 10 kg/acre; Organic: Rhizobium + FYM; Micronutrients: Zn	Neem-based sprays / approved insecticides for thrips and pod borers (label doses)	Temp 25–35°C; Rainfall 400–700 mm	Kharif sowing (Jun–Jul) / Harvest (Aug–Sep)	60–90	1–3 qtl/acre	Pod borer, Powdery mildew	Cereal → Oilseed
Guar (Cluster bean)	Pulse/Cashcrop	Low (300–500 mm)	Light N (if any) and P2O5 10–20 kg/acre; Organic: FYM; Micronutrients: as per test	Aphid & pod borer management with approved chemicals/IPM	Temp 25–35°C; Rainfall 300–600 mm	Kharif sowing (Jun–Jul) / Harvest (Sep–Oct)	90–120	4–12 qtl/acre (seed)	Pod borer, Aphids	Cereal → Legume
